Channel 1,Name of channel,Country,Category,Language,Channel ID,full url 1 with Video ID,full url 2 with Video ID
120,Pratidin Time,India,State News,,UC1JkYCOb4wKvdWreGQ0CR9g,https://www.youtube.com/embed/live_stream?channel=UC1JkYCOb4wKvdWreGQ0CR9g,
121,News18 Assam/Northeast,India,State News,,UCAjBd-r8JWfnRjfhg23nqLQ,https://www.youtube.com/embed/live_stream?channel=UCAjBd-r8JWfnRjfhg23nqLQ,
122,Zee 24 Taas,India,State News,,UCVbsFo8aCgvIRIO9RYwsQMA,https://www.youtube.com/embed/live_stream?channel=UCVbsFo8aCgvIRIO9RYwsQMA,
123,ABP Majha,India,State News,,UCH7nv1A9xIrAifZJNvt7cgA,https://www.youtube.com/embed/live_stream?channel=UCH7nv1A9xIrAifZJNvt7cgA,
124,PTC NEWS,India,State News,,UCQLEbraENUGWh6p1Rv664rQ,https://www.youtube.com/embed/live_stream?channel=UCQLEbraENUGWh6p1Rv664rQ,
125,News18 Punjab,India,State News,Punjab,UC-crZTQNRzZgzyighTKF0nQ,https://www.youtube.com/embed/live_stream?channel=UC-crZTQNRzZgzyighTKF0nQ,
126,Kanak News,India,State News,,UC90RW5ZmBBqp4r2QIQxfACA,https://www.youtube.com/embed/live_stream?channel=UC90RW5ZmBBqp4r2QIQxfACA,
127,TV9 Gujarati,India,State News,Gujarati,UCeJWZgSMlzqYEDytDnvzHnw,https://www.youtube.com/embed/live_stream?channel=UCeJWZgSMlzqYEDytDnvzHnw,
128,News18 Bihar Jharkhand,India,State News,,UC531MlZA5LUbeGwEN_zcppw,https://www.youtube.com/embed/live_stream?channel=UC531MlZA5LUbeGwEN_zcppw,
129,ABP Ganga,India,State News,,UCUGwnDFBHY52YhgVjn-Tvww,https://www.youtube.com/embed/live_stream?channel=UCUGwnDFBHY52YhgVjn-Tvww,
130,News18 UP Uttarakhand,India,State News,,UCafYgzpyw7aIUYOLjjADu7w,https://www.youtube.com/embed/live_stream?channel=UCafYgzpyw7aIUYOLjjADu7w,
131,Zee Delhi-NCR Haryana,India,State News,,UCG6L5cIg2XZvXVksq5B9edw,https://www.youtube.com/embed/live_stream?channel=UCG6L5cIg2XZvXVksq5B9edw,
132,IBC24,India,State News,,UCBc13XYipnBIBE3Ff8QaaGg,https://www.youtube.com/embed/live_stream?channel=UCBc13XYipnBIBE3Ff8QaaGg,
133,The Sikkim Chronicle,India,State News,,UCcwlzxkvBYAVRfo7gSBC61g,https://www.youtube.com/embed/live_stream?channel=UCcwlzxkvBYAVRfo7gSBC61g,
134,Gulistan News,India,State News,,UCk7rHVFVs1Uf_dDOPKc2l0Q,https://www.youtube.com/embed/live_stream?channel=UCk7rHVFVs1Uf_dDOPKc2l0Q,
135,News18 J&K,India,State News,,UCRcye_z41WXpW5JalQm8wJw,https://www.youtube.com/embed/live_stream?channel=UCRcye_z41WXpW5JalQm8wJw,
